CCNA_00001 	45.1322225781	18.8770288382	4.8820035712	x	x	x	x
CCNA_00002 	41.1701630347	39.2989931525	26.3427929404	x	x	x	x
CCNA_00003 	39.3869833508	29.6014631727	32.4976927589	x	x	x	x
CCNA_00004 	30.6203087571	31.3819629786	55.715007069	23.4855905204	11.8281937901	x	x
CCNA_00005 	110.896352458	22.1973571292	13.4998500877	x	x	x	x
CCNA_00006 	77.0653989306	49.8853761091	53.3653837164	42.9428013524	10.2313979804	6.5940522933	x
CCNA_00007 	1376.52814381	563.674164918	399.360572656	62.9079141854	x	x	x
CCNA_00008 	250.671963369	138.415446819	62.9243780853	13.0439808028	3.485449065	x	x
CCNA_00009 	x	x	x	x	x	x	x
CCNA_00010 	158.034902504	115.689412351	133.145928344	71.9294150571	8.0363416796	2.2134315725	x
CCNA_00011 	70.4712118138	60.444820056	109.105154512	10.5158214183	x	x	x
CCNA_00012 	42.128705723	36.0815572389	32.4200976209	9.8874928458	8.621411614	5.7962180629	x
CCNA_00013 	45.8787633605	35.5936799861	44.3968475521	12.4626760469	x	x	x
CCNA_00014 	23.3139021975	18.9653632105	x	x	x	x	x
CCNA_00015 	50.0715296137	25.509064882	12.4573681352	x	x	x	x
CCNA_00016 	33.4177393593	22.7533370656	x	x	x	x	x
CCNA_00017 	x	16.7344394411	x	x	x	x	x
CCNA_00018 	33.5003068754	6.481604142	x	9.6049911402	5.3567281104	x	x
CCNA_00019 	x	x	x	x	x	x	x
CCNA_00020 	158.259301375	26.2724295741	x	x	x	x	x
CCNA_03911 	289.16574466	37.9222284427	x	x	x	x	x
CCNA_00021 	24.0477795933	16.238971777	4.8590555455	13.4427380392	6.1672781972	x	x
CCNA_00022 	24.1374645707	x	x	x	x	x	x
CCNA_00023 	25.5337165131	x	x	x	x	x	x
CCNA_00024 	14.8935377709	9.1803039611	x	x	x	x	x
CCNA_00025 	73.9865149539	42.7829460367	7.8323565596	8.5156590325	x	x	x
CCNA_00026 	57.2713993533	36.8572622346	11.7673412055	9.8500691232	1.5371308273	x	x
CCNA_00027 	62.4129065359	54.9800761044	30.5738889937	32.8340402832	x	x	x
CCNA_00028 	298.898199558	230.366291286	111.937405158	195.839829719	23.052404427	4.4774779898	x
CCNA_00029 	26.3388072294	11.210258754	11.3601210474	x	x	x	x
CCNA_00030 	12.8092352446	7.3171645871	x	x	x	x	x
CCNA_00031 	23.5588525228	x	x	x	x	x	x
CCNA_00032 	36.3035350334	x	x	x	x	x	x
CCNA_03912 	x	x	x	x	x	x	x
CCNA_00033 	257.581543853	243.189445011	108.196922993	285.248418952	37.6716455995	12.2396526457	x
CCNA_00034 	2489.58482047	2307.74851843	1148.25443462	2527.21282773	517.992808842	105.658413403	x
CCNA_00035 	849.207775769	755.153635552	297.216942394	880.159690496	185.244767527	44.3331443808	x
CCNA_00036 	52.8644607363	10.0529096751	x	x	x	x	x
CCNA_00037 	15.8433941964	5.2205626161	x	x	x	x	x
CCNA_00038 	31.8983738182	20.4696494768	x	x	x	x	x
CCNA_00039 	55.0467135218	14.6700944984	x	x	x	x	x
CCNA_00040 	31.0499429448	8.7104123987	x	x	x	x	x
CCNA_00041 	214.124264576	210.719054361	81.0325270283	149.436507573	10.619983044	3.8856089248	x
CCNA_00042 	159.347532558	77.96887957	18.6924405968	x	x	x	x
CCNA_00043 	184.189112632	159.918759232	56.3684555718	116.07342998	10.6373789281	2.3581008274	x
CCNA_00044 	169.94595799	34.0829600512	x	x	x	x	x
CCNA_00045 	368.988551728	206.890776762	310.405827775	190.106334077	21.6963728925	x	x
CCNA_00046 	23.958155108	13.6179442794	x	x	x	x	x
CCNA_00047 	45.3325876062	16.7207284508	x	x	x	x	x
CCNA_00048 	373.795540847	222.938465811	70.7683085426	144.095316181	13.1845324752	4.5046051309	x
CCNA_00049 	x	x	x	x	x	x	x
CCNA_00050 	24.494404434	20.6005995079	9.069151802	12.6578338016	x	x	x
CCNA_00051 	57.2580933739	43.0063734251	13.7174546889	11.702009765	x	x	x
CCNA_00052 	105.012191949	75.9722534061	33.6394571037	x	x	x	x
CCNA_00053 	56.9826784466	54.8967106683	14.4588167587	x	x	x	x
CCNA_00054 	86.5697497645	27.3370619934	x	7.6268514414	4.779781373	x	x
CCNA_00055 	306.746796726	79.1763951878	23.649614527	24.2887699558	x	x	x
CCNA_00056 	21.8238297857	27.4304119069	x	x	x	x	x
CCNA_00057 	34.709770227	16.1060979467	x	x	x	x	x
CCNA_00058 	50.2388360117	9.854179066	x	x	x	x	x
CCNA_00059 	70.8949155409	58.0121803783	21.6394600373	37.5678615893	9.8502272161	x	x
CCNA_00060 	63.5924270896	18.4793516455	x	x	x	x	x
CCNA_00061 	8.6303522462	5.8578079477	4.4799368057	x	x	x	x
CCNA_00062 	67.3763255641	35.9725711274	13.3529171662	12.5021573668	x	x	x
CCNA_03913 	x	x	x	x	x	x	x
CCNA_00063 	31.8721176115	19.4233672492	x	9.0063180036	x	x	x
CCNA_00064 	5.149135786	2.1632843605	x	x	x	x	x
CCNA_03914 	x	x	x	x	x	x	x
CCNA_00065 	73.7754142414	20.8439798457	5.2053427008	x	x	x	x
CCNA_00066 	28.0618572193	29.4996465458	10.9340486622	x	x	x	x
CCNA_00067 	40.0410969533	44.1229401491	27.2347917832	35.8563548259	x	x	x
CCNA_00068 	27.6214598147	27.3800992473	x	x	x	x	x
CCNA_00069 	30.6025790858	10.4119380431	x	x	x	x	x
CCNA_00070 	37.0996651877	9.0308182858	5.3793180584	x	x	x	x
CCNA_00071 	17.3003956783	10.9941294354	x	x	x	x	x
CCNA_00072 	48.1658743316	12.5623024905	5.1952044939	x	x	x	x
CCNA_00073 	44.7832806815	38.9716983216	30.4278994105	x	x	x	x
CCNA_00074 	28.8513806083	31.3067723623	14.051564118	66.5069864785	18.2781782139	2.4461265461	x
CCNA_00075 	26.4772407944	25.8416646046	12.3091892058	51.9045509637	10.2050679651	x	x
CCNA_00076 	x	13.2770705465	x	x	x	x	x
CCNA_00077 	29.1208826597	17.0192809635	6.0431487975	10.0311427343	x	x	x
CCNA_00078 	22.866030246	16.5067091999	8.1844839171	25.2344157893	4.4511454627	x	x
CCNA_00079 	25.4203194802	x	x	x	x	x	x
CCNA_00080 	18.995839362	x	x	x	6.6064981113	x	x
CCNA_00081 	129.794356094	93.2221517436	39.6370804303	50.9375823364	x	x	x
CCNA_00082 	91.5674522878	46.1431332447	5.662667743	5.7330016308	x	x	x
CCNA_00083 	30.3562486031	12.7162789603	2.6940324585	x	x	x	x
CCNA_00084 	86.9107582653	60.4442295731	50.2475927217	15.672705956	4.7663403678	x	x
CCNA_00085 	105.329489831	98.6691691214	118.553167904	37.3691870415	15.2561566645	8.5068452226	x
CCNA_00086 	49.5020953529	38.8568518902	13.51205581	20.2601401027	2.7016477388	0.791795602	x
CCNA_00087 	57.260494787	14.6833227171	22.6943517486	20.5705681598	8.5917239865	4.4596015445	x
CCNA_00088 	33.7410684437	15.6532348647	5.9274696395	x	x	x	x
