gene	regres. slope	regres. Y Int	regres. R value	Half-Life Calc (minutes)	# of data pts. After cuttoff	# of leading data points affected by lag calc	ln adjusted value of last data point used in regres.	In Operon (y or n)	Operon #	complex or simple	Total # of data points	R value flag	Half-life Flag	0	1	2	4	8	15
CCNA_00117	-0.9162746480130012	5.223356060781613	-0.973578854357782	0.7564840761043409	3	-1	3.4143705946718823	y	61	complex	3	x	x	4.605170185988092	4.159438957146347	3.4143705946718823	x	x	x
CCNA_00118	x	x	x	x	3	0	3.855645261571643	y	61	complex	3	x	x	4.605170185988092	4.364480612912063	3.855645261571643	x	x	x
CCNA_00119	x	x	x	x	3	0	4.477152657914102	y	61	complex	3	x	x	4.605170185988092	4.455744299631319	4.477152657914102	x	x	x
CCNA_00120	x	x	x	x	2	0	4.618572641912349	y	61	complex	2	x	x	4.605170185988092	4.618572641912349	x	x	x	x
CCNA_00123	-0.18189358800744423	4.5816307210200655	-0.9765523364258364	3.8107290540201855	5	-1	3.1377612304823543	n	64	simple	5	x	x	4.605170185988092	4.21859100578329	4.35014607438428	3.802627156302514	3.1377612304823543	x
CCNA_00127	x	x	x	x	1	0	4.605170185988092	n	66	simple	1	x	x	4.605170185988092	x	x	x	x	x
CCNA_00131	x	x	x	x	2	0	2.9578568198297837	y	72	complex	2	x	x	4.605170185988092	2.9578568198297837	x	x	x	x
CCNA_00132	x	x	x	x	2	0	3.4757053442421535	y	72	complex	2	x	x	4.605170185988092	3.4757053442421535	x	x	x	x
CCNA_00133	x	x	x	x	2	0	3.6589424191305957	y	72	complex	2	x	x	4.605170185988092	3.6589424191305957	x	x	x	x
CCNA_00134	x	x	x	x	2	0	3.719102752457952	y	72	complex	2	x	x	4.605170185988092	3.719102752457952	x	x	x	x
CCNA_00135	x	x	x	x	2	0	4.073309629908175	y	72	complex	2	x	x	4.605170185988092	4.073309629908175	x	x	x	x
CCNA_00138	-0.174348627361214	4.210971003605138	-0.8839629585691272	3.97563887396652	6	-1	1.9872730335594317	n	75	complex	6	x	x	4.605170185988092	4.332260387142926	3.7911888310854254	2.7997385240717	2.3524570161557916	1.9872730335594317
CCNA_00146	x	x	x	x	2	0	3.479681492621112	n	78	simple	2	x	x	4.605170185988092	3.479681492621112	x	x	x	x
CCNA_00147	x	x	x	x	1	0	4.605170185988092	n	79	simple	1	x	x	4.605170185988092	x	x	x	x	x
CCNA_00148	x	x	x	x	2	0	3.683988716986558	y	80	simple	2	x	x	4.605170185988092	3.683988716986558	x	x	x	x
CCNA_00149	x	x	x	x	1	0	4.605170185988092	y	80	simple	1	x	x	4.605170185988092	x	x	x	x	x
CCNA_00152	x	x	x	x	2	0	3.725099771929937	y	83	complex	2	x	x	4.605170185988092	3.725099771929937	x	x	x	x
CCNA_00153	-0.7095384773710741	5.078538271192644	-0.9878848924719746	0.976898649849321	4	-1	2.1860930291655962	y	83	complex	4	x	x	4.605170185988092	4.169234422839567	3.839278284102698	2.1860930291655962	x	x
CCNA_00155	-1.7517251915915681	5.593689372768903	-0.9958210805586117	0.395694018609261	3	-1	2.0449176624875096	y	85	simple	3	x	x	4.605170185988092	3.9800361311743537	2.0449176624875096	x	x	x
CCNA_00156	x	x	x	x	1	0	4.605170185988092	y	85	simple	1	x	x	4.605170185988092	x	x	x	x	x
CCNA_00157	-0.16208215107174945	4.5944287444874155	-0.9624204372609763	4.276517654637416	5	-1	3.2883879697140435	n	85.1	simple	5	x	x	4.605170185988092	4.236783035623402	4.47175070119395	3.911401224752502	3.2883879697140435	x
CCNA_00158	x	x	x	x	2	0	3.3683060918919656	y	86	simple	2	x	x	4.605170185988092	3.3683060918919656	x	x	x	x
CCNA_00159	-0.319143625632223	4.464311539754681	-0.8010385187122412	2.1718973054430335	5	-2	2.2860922975172326	y	86	simple	6	x	x	4.605170185988092	4.487613824445476	3.8683169522549647	2.190459092270218	2.2860922975172326	0.6785004169302036
CCNA_00160	x	x	x	x	2	0	4.419901947110179	n	87	simple	2	x	x	4.605170185988092	4.419901947110179	x	x	x	x
CCNA_00161	-0.34050765956395423	4.4582954459734285	-0.9844680907557513	2.035628747522369	5	-1	1.8430143357838331	n	88	complex	6	x	x	4.605170185988092	4.058331853957252	3.5936852008233813	2.9611295944818776	1.8430143357838331	0.822276747127205
CCNA_00162	-0.501851261183184	5.140445290884296	-0.9912909806356472	1.3811805093918756	5	-1	1.007540667704546	y	89	simple	6	x	x	4.605170185988092	4.62235014828725	4.376323572433926	3.2891630969102663	1.007540667704546	0.30065591882917364
CCNA_00163	-0.45389915539106573	5.468877215289409	-0.9929424713781102	1.527095109843839	5	-2	1.8520109175523864	y	89	simple	6	x	x	4.605170185988092	4.647761000349785	4.778061760923129	3.5739211471856365	1.8520109175523864	0.745582512870741
CCNA_00164	-0.24699475437951862	5.071110492600274	-0.973434965145	2.8063234877243315	6	-3	1.571586140728779	y	89	simple	6	x	x	4.605170185988092	4.766461304785371	4.692568222936121	4.165115104316599	2.6114965638448138	1.571586140728779
CCNA_03915	x	x	x	x	1	0	4.605170185988092	n	2366	complex	1	x	x	4.605170185988092	x	x	x	x	x
CCNA_00167	x	x	x	x	2	0	3.3102305410495805	n	92	complex	2	x	x	4.605170185988092	3.3102305410495805	x	x	x	x
CCNA_00168	-0.6381945003697921	4.954633947367157	-0.9880791982980334	1.0861064771920028	4	-1	2.3060461029046917	n	92.1	simple	4	x	x	4.605170185988092	4.426482601400609	3.8387630591920674	2.3060461029046917	x	x
CCNA_00169	x	x	x	x	1	0	4.605170185988092	n	93	simple	1	x	x	4.605170185988092	x	x	x	x	x
