CCNA_00001 	33.0517858337	14.2417286798	x	x	x	x	x
CCNA_00002 	33.5546863899	31.1856288069	x	x	x	x	x
CCNA_00003 	26.9378102388	26.5673954659	16.6696260991	x	x	x	x
CCNA_00004 	23.5832465665	27.4888521399	29.0342126641	x	6.7864500257	x	x
CCNA_00005 	84.1037083929	16.5637716584	13.7204979376	x	6.8076172831	x	x
CCNA_00006 	63.8869932559	42.5119693451	32.1203478731	13.9092057861	9.3935183532	4.1378865144	x
CCNA_00007 	1166.13614583	485.819187235	168.268345096	33.6201933401	x	x	x
CCNA_00008 	202.497130307	126.594896039	31.7524717896	4.3054874832	2.5967337019	x	x
CCNA_00009 	7.6457916721	x	x	x	x	x	x
CCNA_00010 	135.40757572	100.853349659	59.1625434628	30.847364389	4.7385686424	x	x
CCNA_00011 	62.8501257	57.4657350091	43.4841018721	4.0599286922	x	x	x
CCNA_00012 	36.5627341923	33.4263379096	18.6154138904	8.6634774934	8.9521046161	5.8095082283	x
CCNA_00013 	36.4684213553	30.1397908096	21.9550656226	5.7862650143	1.3329975621	x	x
CCNA_00014 	25.0961867825	19.5624085686	x	x	x	x	x
CCNA_00015 	35.7895206545	23.5976803109	24.5180827807	x	x	x	x
CCNA_00016 	27.5823626117	24.4952347742	x	x	x	x	x
CCNA_00017 	15.4707316009	19.9556930352	x	x	x	x	x
CCNA_00018 	24.8090998031	7.0364449431	x	x	3.6438436694	x	x
CCNA_00019 	5.7754761776	x	x	x	x	x	x
CCNA_00020 	117.663272554	30.6706359951	x	x	x	x	x
CCNA_03911 	205.556770795	26.6307167801	x	x	x	x	x
CCNA_00021 	16.5870427543	17.6138296841	9.5633945153	6.2247477258	12.4556569644	6.567562751	x
CCNA_00022 	16.188881914	x	x	x	x	x	x
CCNA_00023 	19.7040342007	x	x	x	x	x	x
CCNA_00024 	11.2384546802	8.8676843007	x	x	x	x	x
CCNA_00025 	60.8331027469	41.2779759968	15.4153240405	3.836366571	x	x	x
CCNA_00026 	43.9828268971	34.2941655079	23.1599999817	4.1116121335	1.9086586114	x	x
CCNA_00027 	43.1382446242	52.1638836861	60.1742786389	18.2885257442	x	x	x
CCNA_00028 	296.922886617	234.796184314	220.310625498	108.966228224	21.174080189	4.6121458363	x
CCNA_00029 	23.401929447	9.7925286178	x	x	x	x	x
CCNA_00030 	12.5290983967	7.7355174442	x	x	x	x	x
CCNA_00031 	15.596622701	x	x	x	x	x	x
CCNA_00032 	23.7019541835	x	x	x	x	x	x
CCNA_03912 	12.3861825088	x	x	x	x	x	x
CCNA_00033 	197.353689604	217.315288151	212.948761389	140.78690569	40.2972415484	27.7107008323	x
CCNA_00034 	2155.02749226	1900.50333516	2259.94744442	1344.59103072	448.844048998	102.917483201	x
CCNA_00035 	700.987838104	652.163049919	584.970237561	430.165265361	149.143335601	38.0220470127	x
CCNA_00036 	54.8998493336	10.3693836065	x	x	x	x	x
CCNA_00037 	9.2642155946	5.6922806411	x	x	x	x	x
CCNA_00038 	28.6072281797	20.4403312946	x	x	x	x	x
CCNA_00039 	54.1758952765	14.0302574309	x	x	x	x	x
